order_id,customer,product,city,price,date
ORD1024,Ali,Laptop,Alex,1680.59,2024-01-02
ORD1022,Unknown,Phone,Cairo,587.08,2024-01-03
ORD1029,Omar,Phone,Cairo,1866.0,2024-01-03
ORD1041,Ahmed,Phone,Alex,944.88,2024-01-03
ORD1048,Ahmed,Laptop,Giza,1234.46,2024-01-04
ORD1017,Ali,Monitor,Cairo,1886.22,2024-01-04
ORD1046,Unknown,Tablet,Giza,275.34,2024-01-05
ORD1031,Sara,Phone,Cairo,297.54,2024-01-07
ORD1007,Hassan,Phone,Giza,1347.72,2024-01-08
ORD1012,Sara,Headphones,Alex,744.34,2024-01-09
ORD1028,Ali,Monitor,Cairo,1962.82,2024-01-09
ORD1035,Nour,Laptop,Alex,507.99,2024-01-10
ORD1042,Mona,Laptop,Alex,1336.13,2024-01-10
ORD1040,Nour,Headphones,Giza,1339.68,2024-01-11
ORD1038,Omar,Headphones,Cairo,247.2,2024-01-11
ORD1037,Ahmed,Phone,Cairo,1785.06,2024-01-12
ORD1005,Ahmed,Laptop,Giza,1171.12,2024-01-15
ORD1016,Hassan,Tablet,Alex,599.97,2024-01-15
ORD1033,Sara,Headphones,Giza,498.75,2024-01-16
ORD1019,Sara,Laptop,Alex,1911.98,2024-01-16
ORD1030,Sara,Laptop,Cairo,1778.32,2024-01-16
ORD1025,Nour,Headphones,Giza,1743.15,2024-01-16
ORD1027,Unknown,Monitor,Alex,1407.04,2024-01-16
ORD1011,Sara,Laptop,Cairo,333.49,2024-01-16
ORD1003,Mona,Phone,Giza,1270.0500000000002,2024-01-16
ORD1014,Omar,Headphones,Alex,366.07,2024-01-16
ORD1015,Hassan,Phone,Cairo,673.28,2024-01-17
ORD1008,Nour,Laptop,Cairo,385.79,2024-01-17
ORD1004,Ali,Monitor,Alex,640.62,2024-01-17
ORD1013,Hassan,Phone,Alex,1947.22,2024-01-18
ORD1026,Omar,Phone,Alex,328.33,2024-01-18
ORD1006,Ali,Headphones,Cairo,1795.7,2024-01-19
ORD1032,Hassan,Laptop,Cairo,1592.13,2024-01-20
ORD1021,Unknown,Laptop,Cairo,1813.21,2024-01-21
ORD1039,Ahmed,Tablet,Alex,1270.0500000000002,2024-01-21
ORD1009,Sara,Tablet,Giza,1644.47,2024-01-22
ORD1020,Hassan,Laptop,Cairo,492.28,2024-01-23
ORD1023,Mona,Headphones,Giza,1945.77,2024-01-23
ORD1044,Sara,Headphones,Cairo,838.06,2024-01-23
ORD1043,Unknown,Monitor,Giza,893.4,2024-01-25
ORD1001,Ali,Phone,Alex,1431.04,2024-01-25
ORD1000,Ali,Headphones,Cairo,107.16,2024-01-25
ORD1036,Nour,Tablet,Alex,1305.64,2024-01-25
ORD1010,Mona,Phone,Giza,1335.84,2024-01-26
